admin1_name,exp_2050,temp_effect,water_effect,headline_rfd
Samburu,89.5,-13.6,37.7,24.1
Laikipia,77.3,-11.3,25.8,14.5
Nakuru,63,-11.3,18.1,6.8
Kisii,2.4,-10.6,15.5,4.9
Trans Nzoia,2.5,-7,14.2,7.2
Baringo,50.9,-12.1,14.2,2.1
Tana River,100,-14,13.6,-0.4
Garissa,100,-13.9,13.5,-0.4
West Pokot,40.9,-10.3,12.8,2.5
Uasin Gishu,5.3,-7.3,11.8,4.5
Taita Taveta,97.6,-13.4,11.3,-2.1
Turkana,99.9,-15.2,11,-4.2
Elgeyo-Marakwet,10.2,-10.8,10.9,0.1
Wajir,100,-13.3,10.3,-3
Mandera,100,-9.8,9,-0.8
Migori,9.8,-12.1,8.8,-3.3
Homa Bay,8.1,-12.1,6.6,-5.5
Isiolo,99.3,-11,6.2,-4.8
Marsabit,97.1,-14.5,4.6,-9.9
Kakamega,8,-9.8,3.3,-6.5
Kilifi,92,-13.3,2.8,-10.5
Bungoma,3.3,-10.3,2,-8.3
Nandi,2.9,-9.9,1.8,-8.1
Kwale,91.9,-13,1.6,-11.4
Narok,35,-10.7,1.2,-9.5
Nyamira,0.8,-10.8,0.9,-9.9
Kisumu,5,-10.8,0.9,-9.9
Vihiga,5.6,-10.8,0.9,-9.9
Kericho,1.8,-10.4,0.8,-9.6
Bomet,7.9,-9.9,0.6,-9.3
Siaya,8.1,-12,-0.5,-12.5
Busia,1.6,-11.7,-0.6,-12.3
Kajiado,97.4,-12.3,-1.3,-13.6
Tharaka-Nithi,87.7,-16.5,-1.3,-17.8
Murang'a,81.6,-11.1,-2.1,-13.2
Meru,92.4,-15.8,-2.5,-18.3
Nairobi,94.6,-11.4,-3.3,-14.7
Kitui,99.1,-13.1,-4.3,-17.4
Machakos,96.9,-11.4,-4.5,-15.9
Makueni,99.6,-12.1,-4.9,-17
Embu,88.1,-12.4,-5,-17.4
Kiambu,82.5,-11.3,-5.8,-17.1
Kirinyaga,86.4,-11.3,-5.8,-17.1
