admin1_name,horizon,cycle,yw_rfd,rfd_abs_chg,rfd_pct_chg,yw_irr,irr_pct_chg
Bungoma,2005,1,8.93,,,10.91,
Bungoma,2030,1,8.55,-0.38,-4.2,10.36,-5
Bungoma,2050,1,8.18,-0.74,-8.3,9.78,-10.3
Bungoma,2005,both,8.93,,,10.91,
Bungoma,2030,both,8.55,-0.38,-4.2,10.36,-5
Bungoma,2050,both,8.18,-0.74,-8.3,9.78,-10.3
Meru,2005,1,3.3,,,7.74,
Meru,2030,1,2.86,-0.44,-13.2,7.17,-7.4
Meru,2050,1,2.41,-0.89,-26.9,6.49,-16.1
Meru,2005,2,2.73,,,8.41,
Meru,2030,2,2.69,-0.04,-1.5,7.84,-6.8
Meru,2050,2,2.52,-0.21,-7.8,7.1,-15.6
Meru,2005,both,3.02,,,8.07,
Meru,2030,both,2.78,-0.24,-7.9,7.5,-7.1
Meru,2050,both,2.46,-0.55,-18.3,6.8,-15.8
Nandi,2005,1,10.08,,,12.63,
Nandi,2030,1,9.54,-0.54,-5.3,12.02,-4.8
Nandi,2050,1,9.26,-0.82,-8.1,11.37,-9.9
Nandi,2005,both,10.08,,,12.63,
Nandi,2030,both,9.54,-0.54,-5.3,12.02,-4.8
Nandi,2050,both,9.26,-0.82,-8.1,11.37,-9.9
Narok,2005,1,9.88,,,14.5,
Narok,2030,1,9.17,-0.7,-7.1,13.72,-5.4
Narok,2050,1,8.94,-0.93,-9.5,12.95,-10.7
Narok,2005,both,9.88,,,14.5,
Narok,2030,both,9.17,-0.7,-7.1,13.72,-5.4
Narok,2050,both,8.94,-0.93,-9.5,12.95,-10.7
