admin1_name,vop_musd,exp_hist,exp_2050,d_exp_pp,dry,heat,wet,yw_base,yw_2050,yw_abs,yw_pct,irr_pct
Nyamira,9.5,0.6,0.8,0.3,0,0,0.8,9.01,8.12,-0.89,-9.9,-10.8
Busia,8.1,0.9,1.6,0.7,0.4,0,1.2,8.77,7.68,-1.08,-12.3,-11.7
Kericho,11.1,2.1,1.8,-0.3,1.2,0,0.5,10.44,9.44,-1,-9.6,-10.4
Kisii,12.6,1.2,2.4,1.2,0,0,2.4,6.46,6.78,0.32,4.9,-10.6
Trans Nzoia,25.5,4.5,2.5,-2,2.5,0,0,8.15,8.74,0.58,7.2,-7
Nandi,11.6,2.5,2.9,0.4,0,0,2.8,10.08,9.26,-0.82,-8.1,-9.9
Bungoma,21.6,2.1,3.3,1.2,0,0,3.3,8.93,8.18,-0.74,-8.3,-10.3
Kisumu,6,9.4,5,-4.4,4.9,0,0.1,9.01,8.12,-0.89,-9.9,-10.8
Uasin Gishu,18.5,6.8,5.3,-1.5,5.2,0,0.1,8.6,8.98,0.39,4.5,-7.3
Vihiga,4.6,2.5,5.6,3.1,0,0,5.6,9.01,8.12,-0.89,-9.9,-10.8
Bomet,12,10.8,7.9,-2.9,7.5,0,0.4,12.3,11.15,-1.15,-9.3,-9.9
Kakamega,20.6,5.9,8,2,0,0,8,8.83,8.25,-0.58,-6.5,-9.8
Siaya,12.4,12.7,8.1,-4.6,7.3,0,0.8,7.76,6.8,-0.97,-12.5,-12
Homa Bay,15.5,15.4,8.1,-7.3,7.6,0,0.5,5.9,5.58,-0.32,-5.5,-12.1
Migori,13.6,19.5,9.8,-9.7,9.7,0,0.1,5.54,5.36,-0.18,-3.3,-12.1
Elgeyo-Marakwet,7.9,11.1,10.2,-0.9,10,0,0.2,6.03,6.03,0.01,0.1,-10.8
Narok,22.6,37.9,35,-2.8,35,0,0,9.88,8.94,-0.93,-9.5,-10.7
West Pokot,7,44.5,40.9,-3.6,40.9,1.2,0,5.7,5.85,0.14,2.5,-10.3
Baringo,6.9,49.9,50.9,1,50.9,0.5,0,5.19,5.3,0.11,2.1,-12.1
Nyandarua,3.6,57.9,60.7,2.8,60.7,0,0,,,,,
Nakuru,15.5,60.8,63,2.2,63,0,0,6.72,7.18,0.46,6.8,-11.3
Laikipia,8.8,75.4,77.3,1.9,77.3,0,0,5.02,5.75,0.73,14.5,-11.3
Nyeri,6.7,75.6,78,2.4,78,0,0,,,,,
Murang'a,10.5,80,81.6,1.5,81.6,0,0,4.27,3.71,-0.57,-13.2,-11.1
Kiambu,8.3,78.5,82.5,3.9,82.5,0,0,3.98,3.3,-0.68,-17.1,-11.3
Kirinyaga,6.9,85.3,86.4,1.1,86.4,0,0,3.98,3.3,-0.68,-17.1,-11.3
Tharaka-Nithi,8.6,87.4,87.7,0.3,87.2,23.9,0,2.76,2.27,-0.49,-17.8,-16.5
Embu,11.9,87.4,88.1,0.6,87.7,13.1,0,3.75,3.1,-0.65,-17.4,-12.4
Samburu,0.4,89.1,89.5,0.4,89.5,0.5,0,2.56,3.17,0.62,24.1,-13.6
Mombasa,0.1,55.7,90.8,35.1,50.7,90.1,0,,,,,
Kwale,3.5,89.5,91.9,2.3,88.4,62.7,0,3.44,3.04,-0.39,-11.4,-13
Kilifi,10.2,86.6,92,5.4,84.5,88.1,0,3.09,2.76,-0.32,-10.5,-13.3
Meru,21.8,92.5,92.4,0,92.4,5,0,3.02,2.46,-0.55,-18.3,-15.8
Nairobi,0.5,92.7,94.6,1.9,94.6,0,0,3.77,3.22,-0.55,-14.7,-11.4
Machakos,36.3,97.4,96.9,-0.5,96.9,0.1,0,3.88,3.26,-0.62,-15.9,-11.4
Marsabit,2.4,98.2,97.1,-1.1,97.1,7.6,0,2.17,1.96,-0.21,-9.9,-14.5
Kajiado,9.3,97.5,97.4,-0.1,97.4,0.7,0,3.46,2.99,-0.47,-13.6,-12.3
Taita Taveta,6.4,98.7,97.6,-1.1,97.6,0.3,0,3.81,3.73,-0.08,-2.1,-13.4
Kitui,28.8,99.7,99.1,-0.6,99,23.7,0,3.05,2.52,-0.53,-17.4,-13.1
Lamu,1.6,98.8,99.2,0.4,98.6,95.2,0,,,,,
Isiolo,0.6,99.3,99.3,0,99.2,23.7,0,1.39,1.32,-0.07,-4.8,-11
Makueni,23.5,99.6,99.6,0,99.6,6.4,0,3.18,2.64,-0.54,-17,-12.1
Turkana,0.5,99.8,99.9,0.2,99.2,92.2,0,1.3,1.25,-0.05,-4.2,-15.2
Garissa,0.1,100,100,0,99.5,91.5,0,1.84,1.83,-0.01,-0.4,-13.9
Tana River,0.4,99.9,100,0.1,95.4,100,0,1.86,1.85,-0.01,-0.4,-14
Mandera,0.6,100,100,0,100,47.8,0,1.46,1.45,-0.01,-0.8,-9.8
Wajir,0.6,100,100,0,100,42.9,0,2.27,2.2,-0.07,-3,-13.3
