admin1_name,scenario,timeframe,severity,hazard,vop,vop_total,pct
Baringo,historic,historic,severe,any,3422883,6861377,49.89
Baringo,historic,historic,severe,dry,3422883,6861377,49.89
Baringo,historic,historic,severe,dry+heat,0,6861377,0
Baringo,historic,historic,severe,dry+heat+wet,0,6861377,0
Baringo,historic,historic,severe,dry+wet,0,6861377,0
Baringo,historic,historic,severe,heat,0,6861377,0
Baringo,historic,historic,severe,heat+wet,0,6861377,0
Baringo,historic,historic,severe,no hazard,3438494,6861377,50.11
Baringo,historic,historic,severe,wet,0,6861377,0
Baringo,ssp245,2021_2040,severe,any,3172848,6861376,46.24
Baringo,ssp245,2021_2040,severe,dry,3169571,6861376,46.19
Baringo,ssp245,2021_2040,severe,dry+heat,2089,6861376,0.03
Baringo,ssp245,2021_2040,severe,dry+heat+wet,0,6861376,0
Baringo,ssp245,2021_2040,severe,dry+wet,0,6861376,0
Baringo,ssp245,2021_2040,severe,heat,0,6861376,0
Baringo,ssp245,2021_2040,severe,heat+wet,0,6861376,0
Baringo,ssp245,2021_2040,severe,no hazard,3688529,6861376,53.76
Baringo,ssp245,2021_2040,severe,wet,1187,6861376,0.02
Baringo,ssp245,2041_2060,severe,any,3480409,6861377,50.72
Baringo,ssp245,2041_2060,severe,dry,3470591,6861377,50.58
Baringo,ssp245,2041_2060,severe,dry+heat,9818,6861377,0.14
Baringo,ssp245,2041_2060,severe,dry+heat+wet,0,6861377,0
Baringo,ssp245,2041_2060,severe,dry+wet,0,6861377,0
Baringo,ssp245,2041_2060,severe,heat,0,6861377,0
Baringo,ssp245,2041_2060,severe,heat+wet,0,6861377,0
Baringo,ssp245,2041_2060,severe,no hazard,3380968,6861377,49.28
Baringo,ssp245,2041_2060,severe,wet,0,6861377,0
Baringo,ssp585,2021_2040,severe,any,3471698,6861377,50.6
Baringo,ssp585,2021_2040,severe,dry,3467829,6861377,50.54
Baringo,ssp585,2021_2040,severe,dry+heat,3869,6861377,0.06
Baringo,ssp585,2021_2040,severe,dry+heat+wet,0,6861377,0
Baringo,ssp585,2021_2040,severe,dry+wet,0,6861377,0
Baringo,ssp585,2021_2040,severe,heat,0,6861377,0
Baringo,ssp585,2021_2040,severe,heat+wet,0,6861377,0
Baringo,ssp585,2021_2040,severe,no hazard,3389679,6861377,49.4
Baringo,ssp585,2021_2040,severe,wet,0,6861377,0
Baringo,ssp585,2041_2060,severe,any,3494765,6861376,50.93
Baringo,ssp585,2041_2060,severe,dry,3458972,6861376,50.41
Baringo,ssp585,2041_2060,severe,dry+heat,35375,6861376,0.52
Baringo,ssp585,2041_2060,severe,dry+heat+wet,0,6861376,0
Baringo,ssp585,2041_2060,severe,dry+wet,0,6861376,0
Baringo,ssp585,2041_2060,severe,heat,418,6861376,0.01
Baringo,ssp585,2041_2060,severe,heat+wet,0,6861376,0
Baringo,ssp585,2041_2060,severe,no hazard,3366611,6861376,49.07
Baringo,ssp585,2041_2060,severe,wet,0,6861376,0
Bomet,historic,historic,severe,any,1294208,11997325,10.79
Bomet,historic,historic,severe,dry,1254944,11997325,10.46
Bomet,historic,historic,severe,dry+heat,0,11997325,0
Bomet,historic,historic,severe,dry+heat+wet,0,11997325,0
Bomet,historic,historic,severe,dry+wet,0,11997325,0
Bomet,historic,historic,severe,heat,0,11997325,0
Bomet,historic,historic,severe,heat+wet,0,11997325,0
Bomet,historic,historic,severe,no hazard,10703118,11997325,89.21
Bomet,historic,historic,severe,wet,39263,11997325,0.33
Bomet,ssp245,2021_2040,severe,any,657194,11997325,5.48
Bomet,ssp245,2021_2040,severe,dry,557268,11997325,4.64
Bomet,ssp245,2021_2040,severe,dry+heat,0,11997325,0
Bomet,ssp245,2021_2040,severe,dry+heat+wet,0,11997325,0
Bomet,ssp245,2021_2040,severe,dry+wet,0,11997325,0
Bomet,ssp245,2021_2040,severe,heat,0,11997325,0
Bomet,ssp245,2021_2040,severe,heat+wet,0,11997325,0
Bomet,ssp245,2021_2040,severe,no hazard,11340132,11997325,94.52
Bomet,ssp245,2021_2040,severe,wet,99925,11997325,0.83
Bomet,ssp245,2041_2060,severe,any,1011434,11997326,8.43
Bomet,ssp245,2041_2060,severe,dry,957805,11997326,7.98
Bomet,ssp245,2041_2060,severe,dry+heat,0,11997326,0
Bomet,ssp245,2041_2060,severe,dry+heat+wet,0,11997326,0
Bomet,ssp245,2041_2060,severe,dry+wet,0,11997326,0
Bomet,ssp245,2041_2060,severe,heat,0,11997326,0
Bomet,ssp245,2041_2060,severe,heat+wet,0,11997326,0
Bomet,ssp245,2041_2060,severe,no hazard,10985892,11997326,91.57
Bomet,ssp245,2041_2060,severe,wet,53629,11997326,0.45
Bomet,ssp585,2021_2040,severe,any,990389,11997326,8.26
Bomet,ssp585,2021_2040,severe,dry,940674,11997326,7.84
Bomet,ssp585,2021_2040,severe,dry+heat,0,11997326,0
Bomet,ssp585,2021_2040,severe,dry+heat+wet,0,11997326,0
Bomet,ssp585,2021_2040,severe,dry+wet,0,11997326,0
Bomet,ssp585,2021_2040,severe,heat,0,11997326,0
Bomet,ssp585,2021_2040,severe,heat+wet,0,11997326,0
Bomet,ssp585,2021_2040,severe,no hazard,11006937,11997326,91.74
Bomet,ssp585,2021_2040,severe,wet,49715,11997326,0.41
Bomet,ssp585,2041_2060,severe,any,950026,11997325,7.92
Bomet,ssp585,2041_2060,severe,dry,901189,11997325,7.51
Bomet,ssp585,2041_2060,severe,dry+heat,0,11997325,0
Bomet,ssp585,2041_2060,severe,dry+heat+wet,0,11997325,0
Bomet,ssp585,2041_2060,severe,dry+wet,0,11997325,0
Bomet,ssp585,2041_2060,severe,heat,0,11997325,0
Bomet,ssp585,2041_2060,severe,heat+wet,0,11997325,0
Bomet,ssp585,2041_2060,severe,no hazard,11047300,11997325,92.08
Bomet,ssp585,2041_2060,severe,wet,48836,11997325,0.41
Bungoma,historic,historic,severe,any,453270,21605935,2.1
Bungoma,historic,historic,severe,dry,176,21605935,0
Bungoma,historic,historic,severe,dry+heat,0,21605935,0
Bungoma,historic,historic,severe,dry+heat+wet,0,21605935,0
Bungoma,historic,historic,severe,dry+wet,0,21605935,0
Bungoma,historic,historic,severe,heat,0,21605935,0
Bungoma,historic,historic,severe,heat+wet,0,21605935,0
Bungoma,historic,historic,severe,no hazard,21152666,21605935,97.9
Bungoma,historic,historic,severe,wet,453093,21605935,2.1
Bungoma,ssp245,2021_2040,severe,any,832680,21605936,3.85
Bungoma,ssp245,2021_2040,severe,dry,0,21605936,0
Bungoma,ssp245,2021_2040,severe,dry+heat,0,21605936,0
Bungoma,ssp245,2021_2040,severe,dry+heat+wet,0,21605936,0
Bungoma,ssp245,2021_2040,severe,dry+wet,0,21605936,0
Bungoma,ssp245,2021_2040,severe,heat,0,21605936,0
Bungoma,ssp245,2021_2040,severe,heat+wet,0,21605936,0
Bungoma,ssp245,2021_2040,severe,no hazard,20773256,21605936,96.15
Bungoma,ssp245,2021_2040,severe,wet,832680,21605936,3.85
Bungoma,ssp245,2041_2060,severe,any,602967,21605936,2.79
Bungoma,ssp245,2041_2060,severe,dry,0,21605936,0
Bungoma,ssp245,2041_2060,severe,dry+heat,0,21605936,0
Bungoma,ssp245,2041_2060,severe,dry+heat+wet,0,21605936,0
Bungoma,ssp245,2041_2060,severe,dry+wet,0,21605936,0
Bungoma,ssp245,2041_2060,severe,heat,0,21605936,0
Bungoma,ssp245,2041_2060,severe,heat+wet,0,21605936,0
Bungoma,ssp245,2041_2060,severe,no hazard,21002969,21605936,97.21
Bungoma,ssp245,2041_2060,severe,wet,602967,21605936,2.79
Bungoma,ssp585,2021_2040,severe,any,588500,21605936,2.72
Bungoma,ssp585,2021_2040,severe,dry,176,21605936,0
Bungoma,ssp585,2021_2040,severe,dry+heat,0,21605936,0
Bungoma,ssp585,2021_2040,severe,dry+heat+wet,0,21605936,0
Bungoma,ssp585,2021_2040,severe,dry+wet,0,21605936,0
Bungoma,ssp585,2021_2040,severe,heat,0,21605936,0
Bungoma,ssp585,2021_2040,severe,heat+wet,0,21605936,0
Bungoma,ssp585,2021_2040,severe,no hazard,21017436,21605936,97.28
Bungoma,ssp585,2021_2040,severe,wet,588324,21605936,2.72
Bungoma,ssp585,2041_2060,severe,any,715994,21605936,3.31
Bungoma,ssp585,2041_2060,severe,dry,0,21605936,0
Bungoma,ssp585,2041_2060,severe,dry+heat,0,21605936,0
Bungoma,ssp585,2041_2060,severe,dry+heat+wet,0,21605936,0
Bungoma,ssp585,2041_2060,severe,dry+wet,0,21605936,0
Bungoma,ssp585,2041_2060,severe,heat,0,21605936,0
Bungoma,ssp585,2041_2060,severe,heat+wet,0,21605936,0
Bungoma,ssp585,2041_2060,severe,no hazard,20889942,21605936,96.69
Bungoma,ssp585,2041_2060,severe,wet,715994,21605936,3.31
Busia,historic,historic,severe,any,73667,8105364,0.91
Busia,historic,historic,severe,dry,71470,8105364,0.88
Busia,historic,historic,severe,dry+heat,0,8105364,0
Busia,historic,historic,severe,dry+heat+wet,0,8105364,0
Busia,historic,historic,severe,dry+wet,0,8105364,0
Busia,historic,historic,severe,heat,0,8105364,0
