admin0_name,units,mean_exp,median_d_pp,rho_vs_ywpct
Namibia,7,99.7,0,-0.7
Mozambique,9,94.4,1.33,-0.48
Gambia,6,95.7,0,-0.37
Senegal,10,96.5,0,-0.31
Angola,18,40.1,1.78,-0.3
Kenya,40,55.8,-0.07,-0.29
Zambia,9,66.5,4.2,-0.25
Mauritania,6,99.1,0,-0.2
Guinea,7,55.2,8.75,-0.18
Somalia,9,98.6,0,-0.1
South Sudan,8,75,0.05,0.07
Burundi,15,6.1,-0.23,0.11
Cameroon,8,65.4,-0.27,0.19
Gabon,8,38,-0.68,0.26
Benin,10,24.4,1.61,0.3
Nigeria,34,55.9,2.67,0.32
South Africa,7,96.3,-0.17,0.32
Lesotho,7,93.5,-1.45,0.36
Ghana,9,35.4,0.59,0.43
Botswana,8,97.8,0,0.52
Burkina Faso,12,93.3,0,0.61
Zimbabwe,7,98.7,0.33,0.64
Ethiopia,10,54.1,0.09,0.7
Chad,16,94.2,0,0.83
Eritrea,5,98.8,0,
Guinea-Bissau,5,73.8,8.72,
Mali,5,96.5,0.23,
Togo,5,35.2,12.75,
