admin0_name,admin1_name,scenario,timeframe,year,variable,season,mean,max,min,mean_anomaly,max_anomaly,min_anomaly,n_models
Togo,Kara,ssp126,2021-2040,2021,PTOT,annual,1563.4,1640.4,1470.3,257.5,334.4,164.3,5
Togo,Kara,ssp370,2021-2040,2021,PTOT,annual,1576.1,1737.4,1517.7,270.1,431.4,211.7,5
Togo,Kara,ssp585,2021-2040,2021,PTOT,annual,1673.3,1859.7,1418.9,367.3,553.7,112.9,5
Togo,Kara,ssp126,2021-2040,2021,TAVG,annual,28.9,29.2,28.7,0.4,0.7,0.2,5
Togo,Kara,ssp245,2021-2040,2021,TAVG,annual,28.8,29,28.4,0.3,0.5,-0.1,5
Togo,Kara,ssp370,2021-2040,2021,TAVG,annual,28.8,28.9,28.6,0.3,0.4,0,5
Togo,Kara,ssp585,2021-2040,2021,TAVG,annual,28.8,29,28.7,0.3,0.5,0.2,5
Togo,Kara,ssp126,2021-2040,2021,TMAX,annual,37.7,38.2,37.5,0.4,0.9,0.2,5
Togo,Kara,ssp245,2021-2040,2021,TMAX,annual,37.5,37.9,36.9,0.1,0.6,-0.5,5
Togo,Kara,ssp370,2021-2040,2021,TMAX,annual,37.6,38,37,0.2,0.7,-0.3,5
Togo,Kara,ssp585,2021-2040,2021,TMAX,annual,37.8,38.2,37.4,0.4,0.8,0.1,5
Togo,Kara,ssp126,2021-2040,2022,PTOT,annual,1452.1,1517.2,1324.3,146.2,211.2,18.3,5
Togo,Kara,ssp370,2021-2040,2022,PTOT,annual,1413.2,1513.2,1372.9,107.2,207.2,66.9,5
Togo,Kara,ssp585,2021-2040,2022,PTOT,annual,1578.4,2063.2,1284.3,272.4,757.2,-21.7,5
Togo,Kara,ssp126,2021-2040,2022,TAVG,annual,28.8,29.2,28.7,0.3,0.7,0.2,5
Togo,Kara,ssp245,2021-2040,2022,TAVG,annual,28.7,28.9,28.3,0.2,0.4,-0.2,5
Togo,Kara,ssp370,2021-2040,2022,TAVG,annual,28.7,28.8,28.5,0.2,0.3,0,5
Togo,Kara,ssp585,2021-2040,2022,TAVG,annual,28.8,28.9,28.6,0.3,0.4,0.1,5
Togo,Kara,ssp126,2021-2040,2022,TMAX,annual,37.8,38.3,37.6,0.5,1,0.3,5
Togo,Kara,ssp245,2021-2040,2022,TMAX,annual,37.6,38.2,36.8,0.3,0.8,-0.5,5
Togo,Kara,ssp370,2021-2040,2022,TMAX,annual,37.6,38,36.9,0.2,0.7,-0.4,5
Togo,Kara,ssp585,2021-2040,2022,TMAX,annual,37.7,38.1,37.4,0.4,0.8,0,5
Togo,Kara,ssp126,2021-2040,2023,PTOT,annual,1490.8,1554.9,1387.9,184.9,248.9,81.9,5
Togo,Kara,ssp370,2021-2040,2023,PTOT,annual,1477.6,1579.4,1420.4,171.6,273.4,114.4,5
Togo,Kara,ssp585,2021-2040,2023,PTOT,annual,1559.8,1703.6,1337.9,253.9,397.6,31.9,5
Togo,Kara,ssp126,2021-2040,2023,TAVG,annual,28.9,29.2,28.7,0.4,0.7,0.2,5
Togo,Kara,ssp245,2021-2040,2023,TAVG,annual,28.8,29,28.4,0.3,0.5,-0.1,5
Togo,Kara,ssp370,2021-2040,2023,TAVG,annual,28.8,28.9,28.6,0.3,0.4,0.1,5
Togo,Kara,ssp585,2021-2040,2023,TAVG,annual,28.8,29,28.7,0.3,0.5,0.2,5
Togo,Kara,ssp126,2021-2040,2023,TMAX,annual,36.7,37.2,36.5,-0.6,-0.1,-0.8,5
Togo,Kara,ssp245,2021-2040,2023,TMAX,annual,36.5,37,35.6,-0.8,-0.3,-1.7,5
Togo,Kara,ssp370,2021-2040,2023,TMAX,annual,36.4,36.7,35.8,-0.9,-0.6,-1.5,5
Togo,Kara,ssp585,2021-2040,2023,TMAX,annual,36.5,36.9,36.2,-0.8,-0.5,-1.2,5
Togo,Kara,ssp126,2021-2040,2024,PTOT,annual,1495.5,1551.9,1370.6,189.5,245.9,64.6,5
