item_code,item,parent_raw_item_code,parent_raw_item,commodity_class,include
10,Total Merchandise Trade,,,crop,TRUE
15,Wheat,,,crop,TRUE
16,Wheat and meslin flour,,,crop,TRUE
17,Bran of wheat,15,Wheat,byproduct,TRUE
18,"Uncooked pasta, not stuffed or otherwise prepared",,,crop,FALSE
19,Germ of wheat,,,crop,TRUE
20,Bread,,,crop,TRUE
21,Bulgur,,,crop,TRUE
22,Pastry,,,crop,FALSE
27,Rice,,,crop,TRUE
28,Husked rice,,,crop,TRUE
29,"Rice, milled (husked)",,,crop,TRUE
30,"Rice, paddy (rice milled equivalent)",,,crop,TRUE
31,"Rice, milled",,,crop,TRUE
32,"Rice, broken",,,crop,TRUE
35,Bran of rice,27,Rice,byproduct,TRUE
36,Oil of rice bran,,,byproduct,FALSE
37,Cake of rice bran,,,byproduct,FALSE
38,Flour of rice,27,Rice,byproduct,TRUE
39,Rice-fermented beverages,,,crop,TRUE
41,Breakfast cereals,,,crop,TRUE
44,Barley,,,crop,TRUE
45,Pot barley,,,crop,TRUE
46,"Barley, pearled",,,crop,TRUE
47,Bran of barley,44,Barley,byproduct,TRUE
48,Barley flour and grits,,,crop,TRUE
49,"Malt, whether or not roasted",,,crop,TRUE
50,Malt extract,,,crop,TRUE
56,Maize (corn),,,crop,TRUE
57,Germ of maize,,,crop,TRUE
58,Flour of maize,56,Maize (corn),byproduct,TRUE
59,Bran of maize,56,Maize (corn),byproduct,TRUE
61,Cake of maize,56,Maize (corn),byproduct,TRUE
71,Rye,,,crop,TRUE
72,Flour of rye,71,Rye,byproduct,TRUE
73,Bran of rye,71,Rye,byproduct,TRUE
75,Oats,,,crop,TRUE
76,"Oats, rolled",,,crop,TRUE
79,Millet,,,crop,TRUE
80,Flour of millet,79,Millet,byproduct,TRUE
81,Bran of millet,79,Millet,byproduct,TRUE
83,Sorghum,,,crop,TRUE
84,Flour of sorghum,83,Sorghum,byproduct,TRUE
85,Bran of sorghum,83,Sorghum,byproduct,TRUE
86,"Beer of sorghum, malted",,,byproduct,FALSE
89,Buckwheat,,,crop,TRUE
90,Flour of buckwheat,89,Buckwheat,byproduct,TRUE
92,Quinoa,,,crop,TRUE
94,Fonio,,,crop,TRUE
95,Flour of fonio,94,Fonio,byproduct,TRUE
96,Bran of fonio,94,Fonio,byproduct,TRUE
97,Triticale,,,crop,TRUE
101,Canary seed,,,crop,TRUE
103,Mixed grain,,,crop,TRUE
104,Flour of mixed grain,103,Mixed grain,byproduct,TRUE
105,Bran of mixed grain,103,Mixed grain,byproduct,TRUE
109,Infant food,,,crop,TRUE
