index_name,description,value,direction,crop,threshold
HSH_max,Moderate,1,>,generic,27
HSH_max,Severe,2,>,generic,32
HSH_max,Extreme,3,>,generic,41
HSH_mean,Moderate,1,>,generic,27
HSH_mean,Severe,2,>,generic,32
HSH_mean,Extreme,3,>,generic,41
NTx35,Moderate,1,>,generic,7
NTx35,Severe,2,>,generic,14
NTx35,Extreme,3,>,generic,21
NDD,Moderate,1,>,generic,15
NDD,Severe,2,>,generic,20
NDD,Extreme,3,>,generic,25
NDWL0,Moderate,1,>,generic,2
NDWL0,Severe,2,>,generic,5
NDWL0,Extreme,3,>,generic,8
NDWS,Moderate,1,>,generic,15
NDWS,Severe,2,>,generic,20
NDWS,Extreme,3,>,generic,25
NTx40,Moderate,1,>,generic,1
NTx40,Severe,2,>,generic,5
NTx40,Extreme,3,>,generic,10
PTOT,Moderate,1,<,generic,500
PTOT,Severe,2,<,generic,400
PTOT,Extreme,3,<,generic,300
TAI,Moderate,1,>,generic,40
TAI,Severe,2,>,generic,60
TAI,Extreme,3,>,generic,80
TAVG,Moderate,1,>,generic,33
TAVG,Severe,2,>,generic,36
TAVG,Extreme,3,>,generic,47
THI_max,Moderate,1,>,generic,72
THI_max,Severe,2,>,generic,78
THI_max,Extreme,3,>,generic,89
THI_mean,Moderate,1,>,generic,72
THI_mean,Severe,2,>,generic,78
THI_mean,Extreme,3,>,generic,89
PTOT,Moderate,1,>,generic,1200
PTOT,Severe,2,>,generic,1600
PTOT,Extreme,3,>,generic,1800
TAVG,Moderate,1,<,generic,18
TAVG,Severe,2,<,generic,10
TAVG,Extreme,3,<,generic,6
THI_max,Moderate,1,>,cattle_tropical,74
THI_max,Severe,2,>,cattle_tropical,82
THI_max,Extreme,3,>,cattle_tropical,94
THI_max,Moderate,1,>,cattle_highland,72
THI_max,Severe,2,>,cattle_highland,79
THI_max,Extreme,3,>,cattle_highland,89
THI_max,Moderate,1,>,goats_tropical,74
THI_max,Severe,2,>,goats_tropical,82
THI_max,Extreme,3,>,goats_tropical,94
THI_max,Moderate,1,>,goats_highland,72
THI_max,Severe,2,>,goats_highland,79
THI_max,Extreme,3,>,goats_highland,89
THI_max,Moderate,1,>,sheep_tropical,74
THI_max,Severe,2,>,sheep_tropical,81
THI_max,Extreme,3,>,sheep_tropical,93
THI_max,Moderate,1,>,sheep_highland,72
THI_max,Severe,2,>,sheep_highland,78
THI_max,Extreme,3,>,sheep_highland,86
THI_max,Moderate,1,>,pigs_tropical,75
THI_max,Severe,2,>,pigs_tropical,79
THI_max,Extreme,3,>,pigs_tropical,92
THI_max,Moderate,1,>,pigs_highland,75
THI_max,Severe,2,>,pigs_highland,79
THI_max,Extreme,3,>,pigs_highland,89
THI_max,Moderate,1,>,poultry_tropical,74
THI_max,Severe,2,>,poultry_tropical,79
THI_max,Extreme,3,>,poultry_tropical,92
THI_max,Moderate,1,>,poultry_highland,71
THI_max,Severe,2,>,poultry_highland,76
THI_max,Extreme,3,>,poultry_highland,79
THI_mean,Moderate,1,>,cattle_tropical,74
THI_mean,Severe,2,>,cattle_tropical,82
THI_mean,Extreme,3,>,cattle_tropical,94
THI_mean,Moderate,1,>,cattle_highland,72
THI_mean,Severe,2,>,cattle_highland,79
THI_mean,Extreme,3,>,cattle_highland,89
THI_mean,Moderate,1,>,goats_tropical,74
THI_mean,Severe,2,>,goats_tropical,82
THI_mean,Extreme,3,>,goats_tropical,94
THI_mean,Moderate,1,>,goats_highland,72
THI_mean,Severe,2,>,goats_highland,79
THI_mean,Extreme,3,>,goats_highland,89
THI_mean,Moderate,1,>,sheep_tropical,74
THI_mean,Severe,2,>,sheep_tropical,81
THI_mean,Extreme,3,>,sheep_tropical,93
THI_mean,Moderate,1,>,sheep_highland,72
THI_mean,Severe,2,>,sheep_highland,78
THI_mean,Extreme,3,>,sheep_highland,86
THI_mean,Moderate,1,>,pigs_tropical,75
THI_mean,Severe,2,>,pigs_tropical,79
THI_mean,Extreme,3,>,pigs_tropical,92
THI_mean,Moderate,1,>,pigs_highland,75
THI_mean,Severe,2,>,pigs_highland,79
THI_mean,Extreme,3,>,pigs_highland,89
THI_mean,Moderate,1,>,poultry_tropical,74
THI_mean,Severe,2,>,poultry_tropical,79
THI_mean,Extreme,3,>,poultry_tropical,92
THI_mean,Moderate,1,>,poultry_highland,71
THI_mean,Severe,2,>,poultry_highland,76
THI_mean,Extreme,3,>,poultry_highland,79
