Model,hurs,pr,rsds,tasmax,tasmin,all,cg_labs
ACCESS-CM2,1,1,1,1,1,5,TRUE
ACCESS-ESM1-5,1,1,1,1,1,5,TRUE
CNRM-CM6-1,1,1,1,1,1,5,FALSE
CNRM-ESM2-1,1,1,1,1,1,5,FALSE
EC-Earth3,1,1,1,1,1,5,TRUE
EC-Earth3-Veg-LR,1,1,1,1,1,5,TRUE
FGOALS-g3,1,1,1,1,1,5,FALSE
GFDL-CM4,1,1,1,1,1,5,FALSE
GFDL-ESM4,1,1,1,1,1,5,TRUE
GISS-E2-1-G,1,1,1,1,1,5,FALSE
HadGEM3-GC31-LL,1,1,1,1,1,5,FALSE
HadGEM3-GC31-MM,1,1,1,1,1,5,FALSE
INM-CM4-8,1,1,1,1,1,5,INCOMPLETE
INM-CM5-0,1,1,1,1,1,5,TRUE
IPSL-CM6A-LR,1,1,1,1,1,5,INCOMPLETE
KACE-1-0-G,1,1,1,1,1,5,INCOMPLETE
MIROC-ES2L,1,1,1,1,1,5,FALSE
MIROC6,1,1,1,1,1,5,INCOMPLETE
MPI-ESM1-2-HR,1,1,1,1,1,5,TRUE
MPI-ESM1-2-LR,1,1,1,1,1,5,INCOMPLETE
MRI-ESM2-0,1,1,1,1,1,5,TRUE
NorESM2-LM,1,1,1,1,1,5,TRUE
NorESM2-MM,1,1,1,1,1,5,TRUE
UKESM1-0-LL,1,1,1,1,1,5,FALSE
BCC-CSM2-MR,0,1,1,1,1,4,FALSE
CanESM5,0,1,1,1,1,4,TRUE
KIOST-ESM,0,1,1,1,1,4,FALSE
NESM3,0,1,1,1,1,4,FALSE
CESM2,1,1,1,0,0,3,FALSE
CESM2-WACCM,1,1,1,0,0,3,FALSE
CMCC-CM2-SR5,1,1,1,0,0,3,FALSE
CMCC-ESM2,1,1,1,0,0,3,TRUE
IITM-ESM,1,1,1,0,0,3,FALSE
TaiESM1,1,1,1,0,0,3,TRUE
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
