adm1_pcode,adm1_name,year,area_ha,production_t
KE001,Mombasa,2019,481,259
KE001,Mombasa,2020,606,803
KE001,Mombasa,2021,649,0
KE001,Mombasa,2022,842,272
KE001,Mombasa,2023,876,878
KE001,Mombasa,2024,867,770
KE002,Kwale,2019,65500,35485
KE002,Kwale,2020,56576,34061
KE002,Kwale,2021,56128,33815
KE002,Kwale,2022,23200,45428
KE002,Kwale,2023,60518,61037
KE002,Kwale,2024,58116,44127
KE003,Kilifi,2019,72499,45769
KE003,Kilifi,2020,71782,44585
KE003,Kilifi,2021,53943,26176
KE003,Kilifi,2022,72748,47780
KE003,Kilifi,2023,95674,81813
KE003,Kilifi,2024,51393,41907
KE004,Tana River,2019,5311,4471
KE004,Tana River,2020,5666,8222
KE004,Tana River,2021,4251,958
KE004,Tana River,2022,6673,8257
KE004,Tana River,2023,5734,5879
KE004,Tana River,2024,5063,14658
KE005,Lamu,2019,29350,53232
KE005,Lamu,2020,37500,28325
KE005,Lamu,2021,16820,4772
KE005,Lamu,2022,39502,59102
KE005,Lamu,2023,45800,74318
KE005,Lamu,2024,23154,48436
KE006,Taita Taveta,2019,17069,16698
KE006,Taita Taveta,2020,10006,16643
KE006,Taita Taveta,2021,12252,3360
KE006,Taita Taveta,2022,11464,10893
KE006,Taita Taveta,2023,13596,12393
KE006,Taita Taveta,2024,11426,13176
KE007,Garissa,2019,150,109
KE007,Garissa,2020,238,296
KE007,Garissa,2021,145,71
KE007,Garissa,2022,107,70
KE007,Garissa,2023,142,132
KE007,Garissa,2024,222,382
KE008,Wajir,2019,306,225
KE008,Wajir,2020,98,39
KE008,Wajir,2021,54,19
KE008,Wajir,2022,72,25
KE008,Wajir,2023,132,34
KE008,Wajir,2024,278,216
KE009,Mandera,2019,3071,964
KE009,Mandera,2020,3708,1847
KE009,Mandera,2021,3510,1818
KE009,Mandera,2022,3209,2160
KE009,Mandera,2023,3209,2738
KE009,Mandera,2024,2828,3113
KE010,Marsabit,2019,998,402
KE010,Marsabit,2020,1023,293
KE010,Marsabit,2021,658,46
KE010,Marsabit,2022,591,3
KE010,Marsabit,2023,2184,337
KE010,Marsabit,2024,1830,1089
KE011,Isiolo,2019,530,749
KE011,Isiolo,2020,586,42
KE011,Isiolo,2021,147,139
KE011,Isiolo,2022,129,94
KE011,Isiolo,2023,256,176
KE011,Isiolo,2024,288,576
KE012,Meru,2019,74577,96249
KE012,Meru,2020,67416,74757
KE012,Meru,2021,75058,53331
KE012,Meru,2022,66338,63157
KE012,Meru,2023,142379,151039
KE012,Meru,2024,136082,133150
KE013,Tharaka-Nithi,2019,24436,11943
KE013,Tharaka-Nithi,2020,18591,41601
KE013,Tharaka-Nithi,2021,25420,30352
KE013,Tharaka-Nithi,2022,23640,20668
KE013,Tharaka-Nithi,2023,26617,33808
KE013,Tharaka-Nithi,2024,37588,55426
KE014,Embu,2019,34100,28368
KE014,Embu,2020,35130,34650
KE014,Embu,2021,35925,31378
KE014,Embu,2022,34506,10077
KE014,Embu,2023,34500,41327
KE014,Embu,2024,34750,25659
KE015,Kitui,2019,76901,98046
KE015,Kitui,2020,87252,27960
KE015,Kitui,2021,79035,11508
KE015,Kitui,2022,62987,9183
KE015,Kitui,2023,83618,36292
KE015,Kitui,2024,89423,17845
KE016,Machakos,2019,125358,92034
KE016,Machakos,2020,133795,40927
KE016,Machakos,2021,144201,59321
KE016,Machakos,2022,134048,22597
KE016,Machakos,2023,138830,175493
KE016,Machakos,2024,158761,91910
KE017,Makueni,2019,139024,109434
KE017,Makueni,2020,146562,120000
KE017,Makueni,2021,150726,88013
KE017,Makueni,2022,132910,83018
KE017,Makueni,2023,136912,81363
KE017,Makueni,2024,155337,83506
KE018,Nyandarua,2019,13800,27795
KE018,Nyandarua,2020,17660,39170
KE018,Nyandarua,2021,14070,27958
KE018,Nyandarua,2022,20060,26836
KE018,Nyandarua,2023,20716,46617
KE018,Nyandarua,2024,14987,28698
KE019,Nyeri,2019,28874,29738
KE019,Nyeri,2020,26521,26251
KE019,Nyeri,2021,27067,19382
KE019,Nyeri,2022,26984,14323
KE019,Nyeri,2023,31317,35280
KE019,Nyeri,2024,29248,24832
KE020,Kirinyaga,2019,30406,45036
KE020,Kirinyaga,2020,30505,40281
KE020,Kirinyaga,2021,30373,24388
KE020,Kirinyaga,2022,30503,13547
KE020,Kirinyaga,2023,38467,49692
KE020,Kirinyaga,2024,28228,38468
KE021,Murang'a,2019,68329,74087
KE021,Murang'a,2020,66381,63653
KE021,Murang'a,2021,62983,49256
KE021,Murang'a,2022,67530,47434
KE021,Murang'a,2023,68399,56827
KE021,Murang'a,2024,54189,55488
KE022,Kiambu,2019,31447,83239
KE022,Kiambu,2020,31528,43259
KE022,Kiambu,2021,30371,25563
KE022,Kiambu,2022,29174,19655
KE022,Kiambu,2023,30537,29692
KE022,Kiambu,2024,33534,39471
KE023,Turkana,2019,8931,5689
KE023,Turkana,2020,2475,2582
